OBJECTID,Lon,Lat,De,Dn,Angle,Magnitude,Destd,Dnstd,Anglestd,Dup,Dupstd,Station,Continuity
1,13.485,42.586,2.1,30.2,86.022,30.273,2,2.2,47.726,8.4,7,CROG,SurveyMode
2,13.359,42.629,6.5,19.5,71.565,20.555,1.1,1.1,45,-0.8,4.6,SCUO,SurveyMode
3,13.661,42.245,20.4,3.9,10.823,20.769,3.3,3.5,46.685,18.6,30.5,BOMI,SurveyMode
4,13.46,42.411,50.8,68.7,53.519,85.442,4,4.2,46.397,66.7,17.8,ARAG,SurveyMode
5,13.582,42.337,50.4,29.2,30.087,58.248,1.8,1.9,46.548,4.5,7,BANO,SurveyMode
6,13.162,42.511,-4.8,-1.1,-167.093,4.924,2.4,2.6,47.291,1,9.9,BORB,SurveyMode
7,13.65,42.306,15,12.8,40.475,19.719,1.9,2,46.469,-7.3,7.6,BSPI,SurveyMode
8,13.483,42.293,-79.5,67.1,139.835,104.032,1.9,2,46.469,-168.7,7.6,CADO,SurveyMode
9,13.288,42.501,6.2,-0.5,-4.611,6.22,3.6,3.7,45.785,7.5,10.8,CPAG,SurveyMode
10,13.359,42.564,-8.2,4.2,152.879,9.213,3,3.4,48.576,-4.6,14.5,CTOS,SurveyMode
11,13.516,42.421,51.9,53.5,45.87,74.538,2.9,3,45.971,42.4,12.2,INFN,SurveyMode
12,13.363,42.527,3.6,5.6,57.265,6.657,1.3,1.4,47.121,0,0,MSNI,SurveyMode
13,13.534,42.14,-14,21.4,123.193,25.573,2.8,3,46.975,-17.6,11.2,OVIN,SurveyMode
14,13.326,42.571,-0.3,-9.5,-91.809,9.505,2.8,3.1,47.911,8.7,12.6,POCA,SurveyMode
15,13.125,42.129,-10.2,-6.6,-147.095,12.149,2.5,2.7,47.203,-16.2,12.7,PSCA,SurveyMode
16,13.593,42.18,-6.7,14.8,114.356,16.246,1.7,1.8,46.637,-0.9,7.4,PSIR,SurveyMode
17,13.489,42.229,-35.8,42.4,130.176,55.492,1.7,1.7,45,-45,6.5,RDCA,SurveyMode
18,13.697,42.328,31.4,18.9,31.044,36.649,1.5,1.5,45,-9.1,5.3,ROCA,SurveyMode
19,13.541,42.397,79.8,65,39.164,102.922,1.6,1.6,45,29.5,5.6,ROFA,SurveyMode
20,13.386,42.327,9.4,-10.8,-48.965,14.318,1.9,2,46.469,-125,7.3,ROIO,SurveyMode
21,13.257,42.601,6.2,4.8,37.747,7.841,1.8,2,48.013,-10.9,8,S260,SurveyMode
22,13.18,42.369,-11.4,-3.3,-163.856,11.868,1.6,1.6,45,7.3,6.2,SELL,SurveyMode
23,13.271,42.393,-2.2,-12.1,-100.305,12.298,1.6,1.6,45,-2,7.4,SMCO,SurveyMode
24,13.651,42.36,39.2,33.5,40.517,51.564,1.6,1.7,46.736,-9.2,7.7,SSTS,SurveyMode
25,13.276,42.459,1.3,2.8,65.095,3.087,2.6,2.8,47.121,-8.1,13.1,TARI,SurveyMode
26,13.532,42.237,-39.4,48.9,128.859,62.798,1.1,1.2,47.49,-38.4,4.8,TNER,SurveyMode
27,13.485,42.182,-5,16.5,106.858,17.241,2.2,2.3,46.273,-20.2,11.1,VPEZ,SurveyMode
28,13.466,42.362,-10.6,-14.7,-125.795,18.123,1.3,1.4,47.121,-91.1,5.1,PAGA,SurveyMode
29,13.811,42.102,-1.5,2.2,124.287,2.663,1.5,1.6,46.848,0.2,6.6,RAIA,SurveyMode
30,14.034,41.734,0.8,1,51.34,1.281,1.1,1.1,45,0.6,4.2,ALRA,SurveyMode
31,12.665,41.597,-0.6,-0.6,-135,0.849,1.3,1.3,45,1.4,5.1,APRI,SurveyMode
32,13.374,42.366,3,-60.2,-87.147,60.275,1.2,1.2,45,-122.1,4.7,AQRA,SurveyMode
33,13.35,42.368,9.4,-43.8,-77.887,44.797,1.1,1.2,47.49,-74.1,4.7,AQUI,SurveyMode
34,13.637,42.823,3.7,7.1,62.475,8.006,1.2,1.2,45,-4.4,4.8,ASCO,SurveyMode
35,14.007,42.552,6.3,4.9,37.875,7.981,1,1.1,47.726,1.6,4,ATRA,SurveyMode
36,13.56,41.81,-6.9,-1.6,-166.945,7.083,1.2,1.2,45,0.9,5.1,BLRA,SurveyMode
37,13.72,42.368,21.2,14.4,34.186,25.628,1.1,1.2,47.49,-3.9,4.7,CDRA,SurveyMode
38,14.018,41.598,3.1,1.6,27.3,3.489,0.2,0.2,45,1,0.7,CERA,SurveyMode
39,12.982,41.949,-7.1,-2.6,-159.887,7.561,0.8,0.8,45,0.8,2.9,CERT,SurveyMode
40,13.699,41.281,-1.3,0,180,1.3,0.3,0.3,45,1.3,1.2,FORM,SurveyMode
41,14.669,41.974,1,0.2,11.31,1.02,0.2,0.2,45,-0.9,0.7,FRES,SurveyMode
42,14.292,42.418,2.9,3.9,53.366,4.86,1.3,1.4,47.121,0.1,5.4,FRRA,SurveyMode
43,13.871,42.976,2,2.4,50.194,3.124,1.5,1.5,45,2.6,5.8,GRAM,SurveyMode
44,13.312,41.794,-3,-0.1,-178.091,3.002,0.9,0.9,45,3.5,3.8,GUAR,SurveyMode
