R197605062000A,1976-05-06,20:00:12, 5,  46.36,   13.27,  11.7,5.9,0.0,AUSTRIA                  ,ISC,  0,    0,   0, 10,   24,  45,  0,    0,   0, 1,  5.5, 0.2,  46.07, 0.01,   13.22, 0.02,  10.0,  0.0,FIX  , 5.00,D-R197605062000A,25,  3.470, 0.070, -3.640, 0.080,  0.170, 0.040,  3.780, 0.220,  1.770, 0.250, -0.200, 0.050,   5.550, 63, 322,  -0.130, 11,  75,  -5.420, 24, 170,   5.490, 282, 23,  119,  71, 70,   78,6.43,D,A
R197605070023A,1976-05-07,00:23:50, 7,  46.25,   13.30,  25.6,4.8,0.0,AUSTRIA                  ,ISC,  0,    0,   0,  6,   11,  45,  0,    0,   0, 1,  3.1, 0.5,  46.24, 0.00,   13.32, 0.00,  10.0,  0.0,FIX  , 2.00,D-R197605070023A,23,  2.330, 0.190, -2.370, 0.230,  0.040, 0.100, -0.700, 0.470,  0.980, 0.400,  1.120, 0.100,   2.700, 71, 260,   0.300, 15, 117,  -3.000, 11,  24,   2.850,  95, 37,   63, 307, 58,  108,4.91,D,A
R197605090053A,1976-05-09,00:53:44, 7,  46.26,   13.36,  19.7,5.0,0.0,AUSTRIA                  ,ISC,  0,    0,   0,  9,   18,  45,  0,    0,   0, 1,  3.1, 0.3,  46.06, 0.03,   13.49, 0.03,  10.0,  0.0,FIX  , 2.00,D-R197605090053A,23,  4.670, 0.140, -4.540, 0.160, -0.130, 0.080,  0.550, 0.440,  1.920, 0.580,  1.810, 0.080,   5.470, 68, 288,  -0.280, 22, 110,  -5.190,  1,  20,   5.330,  89, 48,   60, 310, 50,  119,5.09,D,A
R197605112244A,1976-05-11,22:44:00, 8,  46.31,   13.00,  13.3,4.9,0.0,NORTHERN ITALY           ,ISC,  0,    0,   0,  7,   15,  45,  0,    0,   0, 1,  1.2, 0.4,  46.00, 0.03,   13.04, 0.04,  10.0,  0.0,FIX  , 1.00,D-R197605112244A,23,  2.850, 0.120, -3.150, 0.130,  0.300, 0.070,  1.360, 0.340,  1.370, 0.420, -0.350, 0.070,   3.630, 67, 295,  -0.080, 18,  75,  -3.560, 14, 170,   3.590, 283, 35,  123,  65, 61,   69,4.97,D,B
R197606171428A,1976-06-17,14:28:49, 2,  46.16,   12.86,  24.0,6.1,0.0,NORTHERN ITALY           ,MLI,  0,    0,   0, 12,   20,  45,  0,    0,   0, 1,  9.1, 0.0,  46.05, 0.00,   12.50, 0.00,  45.5,  0.0,FREE , 3.30,D-B197606171428A,23,  4.490, 0.980, -8.670, 1.680,  4.190, 1.070, -0.660, 1.450,  1.110, 1.250,  0.440, 1.250,   5.450, 49, 269,   3.270, 41,  95,  -8.720,  3,   2,   7.090,  58, 55,   37, 305, 60,  139,5.17,D,B
R197609111631A,1976-09-11,16:31:11, 1,  46.33,   13.20,   9.6,5.0,0.0,AUSTRIA                  ,ISC,  0,    0,   0, 11,   22,  45,  0,    0,   0, 1,  4.1, 0.7,  46.40, 0.04,   13.50, 0.09,  10.0,  0.0,FIX  , 2.00,D-R197609111631A,23,  8.900, 0.510, -7.950, 0.460, -0.950, 0.470,  1.920, 2.430,  3.700, 2.530, -1.720, 0.350,  10.230, 72, 283,  -1.430, 15,  71,  -8.790,  9, 163,   9.510, 271, 38,  116,  60, 56,   71,5.26,D,B
R197609111635A,1976-09-11,16:35:03, 9,  46.34,   13.20,  23.9,5.3,0.0,AUSTRIA                  ,ISC,  0,    0,   0,  8,   23,  45,  0,    0,   0, 1,  0.9, 0.4,  46.15, 0.02,   13.34, 0.05,  10.0,  0.0,FIX  , 2.00,D-R197609111635A,24,  2.430, 0.090, -2.200, 0.060, -0.230, 0.080,  2.040, 0.350,  0.400, 0.360, -0.370, 0.060,   3.220, 69, 349,  -0.170,  0,  79,  -3.060, 21, 169,   3.140, 260, 24,   91,  79, 66,   90,5.60,D,A
R197609150315A,1976-09-15,03:15:18, 7,  46.32,   13.20,   1.9,5.7,0.0,AUSTRIA                  ,ISC,  0,    0,   0, 13,   36,  45,  0,    0,   0, 1,  4.8, 0.2,  46.18, 0.01,   13.27, 0.02,  10.0,  0.0,FIX  , 2.00,D-R197609150315A,24,  8.110, 0.130, -7.400, 0.100, -0.720, 0.120,  2.790, 0.540,  0.530, 0.510, -2.980, 0.080,   8.600, 80,   0,   0.390,  3, 250,  -8.990,  9, 160,   8.790, 246, 36,   84,  73, 54,   94,5.90,D,A
R197609150921A,1976-09-15,09:21:18, 6,  46.32,   13.17,  12.0,5.4,0.0,AUSTRIA                  ,ISC,  0,    0,   0, 14,   39,  45,  0,    0,   0, 1,  4.1, 0.2,  46.20, 0.01,   13.23, 0.02,  10.0,  0.0,FIX  , 4.00,D-R197609150921A,25,  7.840, 0.120, -8.390, 0.090,  0.550, 0.110,  5.200, 0.460,  3.580, 0.450, -2.190, 0.080,   1.023, 68, 308,   0.056, 12,  69,  -1.079, 18, 163,   1.051, 272, 29,  115,  64, 64,   77,5.95,D,A
S197701130919A,1977-01-13,09:19:06, 0,  43.55,   17.10,  20.0,5.3,0.0,YUGOSLAVIA               ,Nei,  0,    0,   0,  7,   13,  35,  0,    0,   0, 1,  2.7, 0.3,  43.50, 0.02,   17.39, 0.02,  15.0,  0.0,FIX  , 1.00,D-S197701130919A,23,  1.230, 0.140, -0.870, 0.090, -0.350, 0.120, -0.190, 0.150,  2.390, 0.150,  0.500, 0.040,   2.960, 54, 274,  -0.690, 14, 164,  -2.270, 33,  66,   2.620, 115, 17,   39, 347, 79,  104,4.88,D,A
